run_id,record_type,scenario_id,variant,environment,viewport,test_date,operator,method,status,elapsed_seconds,click_count,scroll_count,key_count,error_count,recovery_count,start_state,end_state,observation,evidence,human_participant_id,limitations
PROTOTYPE-001,Computer Use benchmark,UX-05,B,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.322,2,0,0,0,0,解析済み5手KIFの3手目,URL共有完了,保存・共有へ戻るには解析シートを閉じる1操作が必要,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-01,B,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,3.197,1,1,0,0,0,初期局面・対局開始前,0手目の先手番,盤中心の初期表示から対局カードへ1回スクロールして開始,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-02,B,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,4.355,2,2,0,0,0,0手目の先手番,AI応手後の2手目と棋譜,対局カードから盤へ戻り、着手後に棋譜へ移動するため上下2回,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-03,B,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,2.800,2,0,0,0,0,2手目の最終局面,現在局面の最善手と評価グラフ,固定ドックからシートを開き、スクロールなしで解析開始と結果確認,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-04,B,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,7.651,5,1,0,0,0,初期局面,5手KIFの3手目と解析結果,KIF操作領域へ1回移動後、固定ドックとシート内で3手目を解析,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-05,B,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,3.530,2,1,0,0,0,解析済み5手KIFの3手目,URL共有完了,シートを閉じ、棋譜末尾の保存・共有へ1回下方向スクロール,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-01,D,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,0.808,1,0,0,0,0,初期局面・対局開始前,0手目の先手番,次にすることカードの単一CTAから開始,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-D-hierarchy-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-02,D,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.483,2,0,0,0,0,0手目の先手番,AI応手後の2手目と棋譜,盤で着手すると文脈CTAが解析へ更新され、棋譜にもAI応手を反映,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-D-hierarchy-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-03,D,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,0.801,1,0,0,0,0,2手目の最終局面,現在局面の最善手と評価グラフ,情報階層の先頭にある文脈CTAから1操作で解析,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-D-hierarchy-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-04,D,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,2.441,4,0,0,0,0,初期局面,5手KIFの3手目と解析結果,KIF読込後、開いた棋譜で3手目を選び文脈CTAから解析,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-D-hierarchy-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-05,D,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,0.804,1,0,0,0,0,解析済み5手KIFの3手目,URL共有完了,解析完了後の主要CTAがURL共有へ変化。KIF保存は展開済み棋譜内に保持,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-D-hierarchy-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-01,D,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.896,1,0,0,0,0,初期局面・対局開始前,0手目の先手番,固定ドックの文脈CTAからスクロールなしで開始,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-D-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-02,D,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,3.070,2,1,0,0,0,0手目の先手番,AI応手後の2手目と棋譜,盤上の着手後、展開済み棋譜の確認へ1回下方向スクロール,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-D-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-03,D,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,3.158,1,1,0,0,0,2手目の最終局面,現在局面の最善手と評価グラフ,固定ドックから1操作で解析し、挿入された結果へ1回上方向スクロール,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-D-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-04,D,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,6.681,4,1,0,0,0,初期局面,5手KIFの3手目と解析結果,KIF操作領域へ1回移動後、文脈CTAから3手目を解析,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-D-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-05,D,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,2.896,1,1,0,0,0,解析済み5手KIFの3手目,URL共有完了,棋譜内のKIF保存を確認し、固定ドックのURL共有を実行,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-D-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
